Nome;Gênero;Data Nascimento;Idade;Nível;Escolaridade;Área;Salário;Data Admissão;Data Demissão;Contrato;Motivo Demissão;PCD;Alimentação;Saúde;Odont;Transporte;Creche;Combustível;Benefícios;Mês_admissão;Mês_demissão;Status;Faixa_Idade;Tempo_dias;Faixa_dias
Merwin Lillgard;Masculino;25/05/1967;57;Assistente;Ensino Superior;Administração;2500;15/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;55-64;350;270-364
Ram Bumby;Masculino;23/11/1975;49;Gerente;Ensino Superior;Operações;15000;15/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;45-54;350;270-364
Jeramie Rendell;Masculino;08/08/1999;25;Coordenador;Ensino Médio;Administração;10000;15/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;24-34;350;270-364
Regine Mossbee;Feminino;06/12/1965;59;Analista Sr;Pós-graduação;Produção;5000;15/01/2019;;CLT;;;600;600;600;600;;500;2900;1;-;;55-64;350;270-364
Renato Thirsk;Masculino;28/07/1970;54;Assistente;Ensino Técnico;TI;2500;15/01/2019;;CLT;;;600;600;600;600;500;;2900;1;-;;45-54;350;270-364
Melicent O'Cannavan;Feminino;07/04/1998;26;Analista Jr;Ensino Médio;Financeiro;3500;15/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;24-34;350;270-364
Kandy Rennicks;Feminino;03/12/1999;25;Assistente;Ensino Técnico;Administração;2500;16/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;24-34;349;270-364
Clarabelle Force;Feminino;07/06/1998;26;Coordenador;Pós-graduação;Recursos Humanos;10000;17/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;24-34;348;270-364
Alexandre Wieprecht;Masculino;08/06/1991;33;Estagiário;Ensino Técnico;Operações;1200;17/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;24-34;348;270-364
Baldwin Bascomb;Masculino;22/04/1964;60;Coordenador;Pós-graduação;TI;10000;17/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;55-64;348;270-364
Sibyl Cleaver;Masculino;02/05/1973;51;Assistente;Ensino Superior;Vendas;2500;17/01/2019;09/05/2019;CLT;Demissão Involuntária;;600;600;600;600;;;2400;1;5;;45-54;112;86-176
Jaynell Scripture;Feminino;30/01/1989;35;Estagiário;Ensino Médio;Administração;1200;17/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;35-44;348;270-364
Debi Critcher;Feminino;06/11/1998;26;Estagiário;Ensino Técnico;Operações;1200;17/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;24-34;348;270-364
Babette Curdell;Feminino;25/06/1967;57;Estagiário;Ensino Técnico;Administração;1200;18/01/2019;;Estágio;;Sim;200;200;200;200;;;800;1;-;;55-64;347;270-364
Nels Noakes;Masculino;16/01/1995;29;Analista Jr;Ensino Médio;Logística;3500;18/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;24-34;347;270-364
Betteanne Jeanes;Feminino;14/09/1995;29;Coordenador;Ensino Superior;Marketing;10000;18/01/2019;;CLT;;Sim;1200;1200;1200;1200;;500;5300;1;-;;24-34;347;270-364
Nola Braune;Feminino;04/12/1971;53;Assistente;Ensino Médio;Recursos Humanos;2500;19/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;45-54;346;270-364
Lorianna Leadbitter;Feminino;21/03/1990;34;Analista Jr;Ensino Médio;Financeiro;3500;19/01/2019;;CLT;;;600;600;600;600;500;;2900;1;-;;24-34;346;270-364
Hewet Jeffry;Masculino;13/08/1989;35;Estagiário;Ensino Médio;Recursos Humanos;1200;19/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;35-44;346;270-364
Ertha Minchin;Feminino;24/03/1996;28;Estagiário;Ensino Médio;TI;1200;19/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;24-34;346;270-364
Dougie Pilkington;Masculino;29/02/1988;36;Estagiário;Ensino Médio;Recursos Humanos;1200;20/01/2019;;Estágio;;;200;200;200;200;500;;1300;1;-;;35-44;345;270-364
Anne Bibey;Feminino;19/02/1978;46;Coordenador;Pós-graduação;Logística;10000;20/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;45-54;345;270-364
Meg Deerr;Feminino;13/05/1978;46;Coordenador;Ensino Superior;TI;10000;20/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;45-54;345;270-364
Brett Pedri;Feminino;17/02/1982;42;Coordenador;Mestrado;Logística;10000;21/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;35-44;344;270-364
Randal Starking;Masculino;01/10/1986;38;Supervisor;Ensino Superior;Logística;7000;21/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;35-44;344;270-364
Nance Luckie;Feminino;14/12/1973;51;Analista Jr;Ensino Técnico;Administração;3500;21/01/2019;30/04/2019;CLT;Demissão Voluntária;;600;600;600;600;;;2400;1;4;;45-54;99;86-176
Palm Uc;Masculino;26/07/1970;54;Analista Jr;Ensino Médio;TI;3500;22/01/2019;;CLT;;;600;600;600;600;500;;2900;1;-;;45-54;343;270-364
Greg Asaaf;Masculino;06/12/2000;24;Estagiário;Ensino Técnico;Vendas;1200;22/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;24-34;343;270-364
Ardeen Gillimgham;Feminino;26/08/1974;50;Assistente;Ensino Técnico;TI;2500;23/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;45-54;342;270-364
Jasmina Keppy;Feminino;19/09/1970;54;Supervisor;Ensino Técnico;Administração;7000;23/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;45-54;342;270-364
Genia Andreia;Feminino;04/09/1978;46;Assistente;Ensino Médio;Logística;2500;23/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;45-54;342;270-364
Megan Pitone;Feminino;04/06/1962;62;Estagiário;Ensino Médio;Financeiro;1200;23/01/2019;;Estágio;;;200;200;200;200;;;800;1;-;;55-64;342;270-364
Meredith Szymonwicz;Masculino;11/12/1996;28;Analista Jr;Ensino Técnico;Administração;3500;23/01/2019;25/04/2019;CLT;Demissão Voluntária;;600;600;600;600;;;2400;1;4;;24-34;92;86-176
Riccardo Lamplugh;Masculino;11/04/1961;63;Supervisor;Pós-graduação;Administração;7000;23/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;55-64;342;270-364
Corliss Crone;Feminino;07/07/1978;46;Analista Jr;Ensino Técnico;Financeiro;3500;24/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;45-54;341;270-364
Maribel Youhill;Feminino;27/05/1975;49;Analista Jr;Ensino Técnico;Logística;3500;24/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;45-54;341;270-364
Bellanca Biesinger;Feminino;02/05/1975;49;Gerente;Mestrado;Produção;15000;24/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;45-54;341;270-364
Honor Lampet;Feminino;28/08/1968;56;Supervisor;Ensino Superior;Vendas;7000;25/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;55-64;340;270-364
Vincenty Garrow;Masculino;12/05/1968;56;Assistente;Ensino Técnico;Administração;2500;25/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;55-64;340;270-364
Boy Corder;Masculino;16/12/1991;33;Analista Jr;Pós-graduação;Operações;3500;25/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;24-34;340;270-364
Drona Whorall;Feminino;18/10/1970;54;Gerente;Ensino Superior;Financeiro;15000;26/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;45-54;339;270-364
Irvin Sertin;Masculino;27/12/1963;61;Assistente;Ensino Técnico;Marketing;2500;26/01/2019;;CLT;;Sim;600;600;600;600;;;2400;1;-;;55-64;339;270-364
Gradey Nethercott;Masculino;22/09/1987;37;Analista Jr;Ensino Técnico;Administração;3500;27/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;35-44;338;270-364
Anderea Meardon;Feminino;05/11/1997;27;Gerente;Ensino Superior;Produção;15000;27/01/2019;15/03/2019;CLT;Demissão Voluntária;;1200;1200;1200;1200;;500;5300;1;3;;24-34;47;1-85
Cookie Doyle;Feminino;31/08/1976;48;Coordenador;Ensino Médio;TI;10000;28/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;45-54;337;270-364
Noell Lawlance;Feminino;11/02/1987;37;Analista Sr;Pós-graduação;TI;5000;28/01/2019;;CLT;;;600;600;600;600;;500;2900;1;-;;35-44;337;270-364
Robinson Jobin;Masculino;23/08/1982;42;Analista Jr;Ensino Superior;TI;3500;28/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;35-44;337;270-364
Trip Giraux;Masculino;25/04/1964;60;Gerente;Pós-graduação;Operações;15000;29/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;55-64;336;270-364
Ludovika Rathbone;Feminino;26/08/1987;37;Gerente;Ensino Superior;Operações;15000;29/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;35-44;336;270-364
Ernst Stickney;Masculino;10/05/1988;36;Analista Jr;Ensino Superior;Financeiro;3500;29/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;35-44;336;270-364
Tristan Dykins;Masculino;26/10/1985;39;Analista Sr;Ensino Superior;Produção;5000;29/01/2019;;CLT;;Sim;600;600;600;600;;500;2900;1;-;;35-44;336;270-364
Morlee Pallatina;Masculino;14/11/1995;29;Analista Jr;Ensino Médio;Produção;3500;29/01/2019;;CLT;;Sim;600;600;600;600;;;2400;1;-;;24-34;336;270-364
Tyne Camilli;Feminino;04/04/1976;48;Assistente;Ensino Superior;Operações;2500;29/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;;45-54;336;270-364
Berkley Kinnier;Masculino;17/02/1996;28;Supervisor;Ensino Superior;Recursos Humanos;7000;30/01/2019;;CLT;;;1200;1200;1200;1200;;500;5300;1;-;;24-34;335;270-364
Tildie Douthwaite;Feminino;06/01/1963;61;Assistente;Ensino Médio;TI;2500;31/01/2019;;CLT;;;600;600;600;600;;;2400;1;-;Férias;55-64;334;270-364
Cordi Trowel;Feminino;02/05/1973;51;Analista Sr;Ensino Superior;Marketing;5000;31/01/2019;;CLT;;Sim;600;600;600;600;;500;2900;1;-;;45-54;334;270-364
Rollo Keming;Masculino;09/08/1992;32;Estagiário;Ensino Técnico;Administração;1200;01/02/2019;;Estágio;;;200;200;200;200;;;800;2;-;;24-34;333;270-364
Ines Lathaye;Feminino;26/01/1969;55;Gerente;Pós-graduação;Vendas;15000;01/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;55-64;333;270-364
Addie Frisby;Masculino;27/01/1984;40;Assistente;Ensino Superior;Produção;2500;02/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;Férias;35-44;332;270-364
Cecily Bramble;Feminino;01/03/1995;29;Analista Sr;Pós-graduação;Administração;5000;02/02/2019;;CLT;;;600;600;600;600;;500;2900;2;-;;24-34;332;270-364
Sile Brandino;Feminino;23/07/1974;50;Coordenador;Ensino Técnico;Marketing;10000;02/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;45-54;332;270-364
Venus Radbourne;Feminino;24/08/1987;37;Assistente;Ensino Médio;Administração;2500;02/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;35-44;332;270-364
Orin Sheals;Masculino;15/01/1985;39;Supervisor;Ensino Superior;Recursos Humanos;7000;03/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;35-44;331;270-364
Marcos Middle;Masculino;04/07/1996;28;Analista Sr;Ensino Médio;Vendas;5000;03/02/2019;;CLT;;;600;600;600;600;;500;2900;2;-;;24-34;331;270-364
Robyn Spir;Feminino;14/09/1965;59;Assistente;Ensino Médio;TI;2500;03/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;55-64;331;270-364
Magdaia Schuster;Feminino;26/08/1994;30;Assistente;Ensino Técnico;Recursos Humanos;2500;04/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;24-34;330;270-364
Lewes Emblen;Masculino;02/09/1997;27;Gerente;Ensino Técnico;Operações;15000;04/02/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;2;-;;24-34;330;270-364
Matthiew McQuarrie;Masculino;20/04/1967;57;Coordenador;Ensino Médio;Operações;10000;04/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;55-64;330;270-364
Vance Joffe;Masculino;24/12/1980;44;Coordenador;Ensino Médio;Recursos Humanos;10000;05/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;35-44;329;270-364
Jacky Kissick;Masculino;29/08/1968;56;Analista Sr;Ensino Superior;TI;5000;06/02/2019;;CLT;;;600;600;600;600;;500;2900;2;-;;55-64;328;270-364
Ethe Bolger;Masculino;03/08/1985;39;Assistente;Ensino Superior;Recursos Humanos;2500;06/02/2019;;CLT;;Sim;600;600;600;600;;;2400;2;-;;35-44;328;270-364
Hunter Methingam;Masculino;02/10/1986;38;Analista Sr;Pós-graduação;TI;5000;06/02/2019;;CLT;;;600;600;600;600;;500;2900;2;-;;35-44;328;270-364
Paulie Robotham;Masculino;24/12/1990;34;Assistente;Ensino Técnico;Administração;2500;06/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;24-34;328;270-364
Wheeler Beat;Masculino;18/09/1971;53;Gerente;Ensino Técnico;Operações;15000;07/02/2019;;CLT;;Sim;1200;1200;1200;1200;500;500;5800;2;-;;45-54;327;270-364
William Eaddy;Masculino;04/07/1974;50;Gerente;Ensino Médio;Recursos Humanos;15000;07/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;45-54;327;270-364
Holden Doddemeede;Masculino;31/01/1963;61;Analista Jr;Ensino Técnico;Recursos Humanos;3500;08/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;55-64;326;270-364
Malvina Dumingos;Feminino;07/03/1972;52;Supervisor;Ensino Médio;Administração;7000;08/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;45-54;326;270-364
Addy Hansman;Masculino;07/12/1963;61;Coordenador;Ensino Médio;TI;10000;09/02/2019;;CLT;;Sim;1200;1200;1200;1200;;500;5300;2;-;;55-64;325;270-364
Edmon Sarjent;Masculino;05/11/1963;61;Gerente;Ensino Médio;Produção;15000;10/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;55-64;324;270-364
Ferdinand Bunner;Masculino;08/12/1986;38;Gerente;Mestrado;Marketing;15000;11/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;35-44;323;270-364
Haily Kelland;Masculino;21/09/1960;64;Gerente;Ensino Técnico;Recursos Humanos;15000;11/02/2019;;CLT;;Sim;1200;1200;1200;1200;500;500;5800;2;-;;55-64;323;270-364
Joceline Corfield;Feminino;22/10/1989;35;Analista Sr;Ensino Técnico;Recursos Humanos;5000;11/02/2019;;CLT;;;600;600;600;600;;500;2900;2;-;;35-44;323;270-364
Frederique Chipping;Feminino;04/06/1979;45;Analista Jr;Ensino Técnico;Logística;3500;11/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;45-54;323;270-364
Arlana Yanov;Feminino;04/01/1972;52;Estagiário;Ensino Técnico;Recursos Humanos;1200;11/02/2019;;Estágio;;;200;200;200;200;;;800;2;-;;45-54;323;270-364
Gibbie Pennacci;Masculino;06/04/1988;36;Gerente;Ensino Técnico;Produção;15000;12/02/2019;;CLT;;;1200;1200;1200;1200;500;500;5800;2;-;;35-44;322;270-364
Callie Locks;Feminino;05/04/1984;40;Coordenador;Ensino Médio;Logística;10000;13/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;35-44;321;270-364
Beck Antonsson;Masculino;06/11/1987;37;Assistente;Ensino Médio;Logística;2500;13/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;35-44;321;270-364
Lacy Kimbling;Feminino;14/11/1979;45;Assistente;Ensino Médio;Logística;2500;13/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;45-54;321;270-364
Adams Hows;Masculino;27/06/1996;28;Assistente;Ensino Médio;Administração;2500;14/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;24-34;320;270-364
Hugo Bethel;Masculino;17/11/1993;31;Coordenador;Mestrado;Operações;10000;14/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;24-34;320;270-364
Kenyon Fawson;Masculino;27/04/1979;45;Coordenador;Ensino Superior;Logística;10000;14/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;45-54;320;270-364
Nan Mathieu;Feminino;10/10/1981;43;Analista Sr;Ensino Superior;Marketing;5000;15/02/2019;;CLT;;;600;600;600;600;;500;2900;2;-;;35-44;319;270-364
Vance Acott;Masculino;12/09/1993;31;Estagiário;Ensino Médio;Vendas;1200;15/02/2019;;Estágio;;;200;200;200;200;500;;1300;2;-;;24-34;319;270-364
Maggy Letchford;Feminino;03/03/1964;60;Estagiário;Ensino Técnico;Financeiro;1200;16/02/2019;;Estágio;;Sim;200;200;200;200;;;800;2;-;;55-64;318;270-364
Ellette McVaugh;Feminino;27/11/2000;24;Analista Sr;Pós-graduação;Logística;5000;16/02/2019;;CLT;;;600;600;600;600;;500;2900;2;-;;24-34;318;270-364
Marco Cockayne;Masculino;25/04/1988;36;Coordenador;Mestrado;TI;10000;16/02/2019;15/06/2019;CLT;Demissão Involuntária;;1200;1200;1200;1200;;500;5300;2;6;;35-44;119;86-176
Katherina Skerratt;Feminino;25/07/1962;62;Estagiário;Ensino Técnico;Financeiro;1200;16/02/2019;;Estágio;;;200;200;200;200;;;800;2;-;;55-64;318;270-364
Yuri Gresswood;Masculino;22/03/1981;43;Assistente;Ensino Médio;Vendas;2500;17/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;35-44;317;270-364
Gayelord Hayto;Masculino;08/11/2000;24;Analista Sr;Ensino Técnico;Financeiro;5000;17/02/2019;;CLT;;;600;600;600;600;;500;2900;2;-;;24-34;317;270-364
Karil Hacaud;Feminino;07/06/1972;52;Assistente;Ensino Superior;Administração;2500;18/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;45-54;316;270-364
Jsandye Hanselmann;Feminino;27/01/1977;47;Analista Jr;Ensino Técnico;Marketing;3500;18/02/2019;;CLT;;;600;600;600;600;;;2400;2;-;;45-54;316;270-364
Corny Yendall;Masculino;14/05/1996;28;Coordenador;Mestrado;Recursos Humanos;10000;18/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;24-34;316;270-364
Mia Hardwin;Feminino;01/07/1975;49;Supervisor;Pós-graduação;TI;7000;19/02/2019;;CLT;;;1200;1200;1200;1200;;500;5300;2;-;;45-54;315;270-364
